id,accession_no_csv,object_work_type,title_text
95c1540d-cb87-4bd7-84f5-d87945ba7457,2016-00309,maps (documents) copper engravings (visual works),Kaart van het Eiland Borneo (Map of the Island of Borneo)
f5146fb1-4bba-4dcc-ad45-215c40e221cb,2016-00310,prints (visual works),View of Ternate
e3ded5c3-7b0b-4faa-89ee-9c8b3d5dbae7,2016-00311,skirts (garments) womenswear,Pink Chinese skirt Pink Han Chinese skirt
23651951-b7f7-4a79-ae78-0fa749e1764e,2016-00312,bangles,Elephant head bangles
e621dc00-8c8d-457d-a45c-2e753d889a50,2016-00313,bangles,Makara headed bangles
b02e5d52-0fe5-4a5a-b203-0f8145ac9d8d,2016-00314,cups (drinking vessels),Rock crystal gem-set fluted cup and cover
b1ea7b25-c4fe-4b29-ae71-062b0f550aca,2016-00315,stands (support objects),Display stand Display stand
0b0f61b3-6fbb-4ed8-996d-06aa70b776d7,2016-00317,portraits paintings (visual works),"Indian Pioneer, Gnanapragasam Pillai Portrait of Indian Pioneer, Gnanapragasam Pillai"
43a390f5-b444-4c0f-ab34-a85811867492,2016-00334,stoles (outerwears) shawls scarves (costume accessories),Brocade
9f5c5fbe-73c6-442e-ab09-1062566d09d5,2016-00335,stoles (outerwears) shawls scarves (costume accessories),Brocade Stole
12024e53-203e-4afd-b5aa-8a14f94bdfd9,2016-00336,stoles (outerwears) shawls scarves (costume accessories),Brocade Stole
9a0dcb08-ea8f-4966-b908-4744eae22673,2016-00337,stoles (outerwears) shawls scarves (costume accessories),Brocade Stole
f8efb910-3b43-4d9c-95e6-1b273e5c498e,2016-00338,prayer rugs,Prayer Mat Janamaz
c1c03fb2-9c49-4e0f-97e3-50b6a291fde2,2016-00339,covers (closures),Dish cover Thaalposh
8afd4555-601d-441b-9570-cf0e29ee54f0,2016-00340,stoles (outerwears) shawls scarves (costume accessories),Cotton Stole
a3859b60-5013-4e5b-ac34-154a16b94910,2016-00341,radio receivers radio receivers,Rediffusion set (a) Rediffusion set (a)
d4db2e1f-84e8-459c-ba1c-446c15ff90b2,2016-00342,radio receivers,Rediffusion set (b)
b5f0a7c0-dfdd-4edc-8f2d-5b10b8840740,2016-00343,loudspeakers,Rediffusion loudspeaker Rediffusion set (c)
ed06e60b-da94-44c9-90e3-2abf8b88bb5b,2016-00344,electric switches,Rediffusion switch with receipt
f32928a2-054d-4ab1-98d2-150435769935,2016-00345,weeklies (publications),SBC TV magzine (no 166)
d3585586-059d-48eb-8e20-dff3b150a0cb,2016-00346,weeklies (publications),SBC TV magzine (no 161)
e0231917-47f6-4b57-bb62-8ab1a1f74113,2016-00347,weeklies (publications),SBC TV magzine (no 159)
b4b5822b-e164-4dd4-b377-a77506a19a4c,2016-00348,blouses (military jackets),Military Uniform Herbie Lim's Military Uniform
0e65b295-1fab-4ed2-bfc8-30c1814ce993,2016-00349,boxes (container),Nantang Red Lacquered Box
c573e039-1114-4f4d-8ab6-2963a8da12b4,2016-00350,watercolours (paintings) paintings (visual works),"Claës Fredrik Hornstedt examining natural history specimens, attended by his slave Ali, in Java"
b29702ca-a375-4f66-9180-1bcbcc253f56,2016-00351,paintings (visual works),A View of Hong Kong Harbour Hong Kong Harbour
768eb5b7-8a03-49c7-bec8-aab274605e6d,2016-00352,shawls,Manila shawl
8c331f83-f45c-46ce-9bf7-3f840a2b7d75,2016-00355,passports,Sevarayan Mohideen Pillai Ismail Republic of India passport belonging to Sevarayan Mohideen Pillai Ismail
f1cd8dbc-8d4c-4a4b-8eef-149f3e0682b6,2016-00358,plans (maps) copper engravings (visual works),City plan of old Batavia
f7a002da-3634-4910-b8ea-f197f554f382,2016-00359,folders (containers),"“Your Passport to the Home ‘N’ Hearts of Tamils in Singapore”, Tamil Murasu"
1b176e4a-b839-4742-9ecf-d7aa345146cf,2016-00360,certificates,"Certificate of Membership, Certificate of Membership, (“This is certify that Tamil Murasu is a member of the Audit Bureau of Circulations”)"
abfd1037-778d-4627-9eb1-aad5307d94b1,2016-00362,double doors,A Pair of Mother of Pearl Doors
eb63538b-2cad-409b-8b2c-87fa7a0829c3,2016-00363,necklaces chokers (necklaces),South Indian Necklaces A Pair of South Indian Necklaces m?nikka addigai and m?nga m?lai
afaaaed8-10f9-46f9-84b9-3c085a3cd46f,2016-00364,architectural drawings (visual works),Drawings of South Indian Architectural Temple Figures with note Drawings of South Indian Architectural Temple Figures
a87561eb-f861-4f3d-99d1-2c620551744d,2016-00365,fly whisks,Chaur Sahib
a0105ec8-f35d-4436-8a96-a3a10a563c9f,2016-00366,porcelain (visual works) coffeepots,Coffee pot Imari porcelain coffee pot
988a13b6-16ac-4dd8-b479-156763098aff,2016-00368,portable altarpieces,An oratory Portable Namban shrine
b51a59cc-6984-4e80-8ddd-1933980d3782,2016-00369,porcelain (visual works) beakers (drinking vessels) saucers (plates),A lobed beaker and saucer Lobed porcelain beaker and saucer
32e42f79-e2d4-4165-813d-649595283e77,2016-00370,folk costume jewelry worn on costume,Turban ornament in the form of a parrot
d6e5ac8d-aa10-48b6-b60c-c5d21dc66341,2016-00371,slide projectors,Rollei Slide Projector and Case Rollei Slide Projector
a036cf7a-04cd-49e2-8194-8553fa87f5a6,2016-00399,mechanical toys,Tomy Pocketeer Rally handheld game Tomy Pocketeer Rally handheld game and box
b30f8d3a-fd48-472f-b0da-b9b5d4007523,2016-00400,toys (recreational artifacts),Nintendo 1983 Family Computer (Famicom) game console and tennis game
2b6bf6a9-94d1-4333-8741-e8b29a6f09a4,2016-00401,machines (general equipment),Hall-Welter Speedrite 914 cheque writer Hall-Welter Speedrite 914 cheque writer and cover
bbce7d17-462c-4513-a5d4-3860d462ce04,2016-00402,calculators,Facit AB model 1004 mechanical calculator
f9631d08-e357-4565-a946-735463a95500,2016-00403,cellular telephones,Motorola DynaTac 8000M Motorola DynaTac 8000M brick cellular phone
b7e4c5f8-6604-4cad-b09d-91027d17efe1,2016-00404,tables (support furniture) marble slab tables,Kopitiam (coffee shop) table with marble top
78d4b9ca-8494-4ba8-ab63-f34a1c0affd0,"2016-00405
2016-00406
2016-00407
2016-00408
2016-00409",chairs (furniture forms) dining chairs,Kopitiam (coffee shop) chair #1 - # 5
6917040a-8bba-4e8a-b61a-9f90e3b7a483,2016-00410,armchairs,Round armchair with plastic cords and metal frame
36e38c6f-5b28-40d3-982f-02e44a0a8c34,"2016-00411
2016-00412",ale glass,Harp lager beer glass #1 & #2 ???????
42865f52-8f01-45b1-93bd-e2d9ebd46793,2016-00413,jackets (garments) skirts (garments) womenswear,Jacket with matching skirt Chinese jacket with matching skirt
74e3e6d8-b1a3-4a00-a0f3-a9c39de6598e,2016-00414,dresses (garments) womenswear,Pink dress with purl fringe
d1a92f23-5f0e-496f-9492-e4119d4588ea,2016-00415,watchcases,Beaded Watch Case
9624b91d-8230-4a0f-b4aa-9d759271cc34,2016-00416,wallets,Envelope Wallet with Gold Embroidery and Mirror Appliques Beaded envelope wallet
e31dfe30-95f3-4075-9fef-910b6fd59a81,2016-00417,pillow shams,"Ornamental mat, perhaps for a pillow Beaded pillow mat"
d8cdd931-9eb9-449b-8ddf-f61c2a0466b7,2016-00418,pouches,Beaded Pouch with Dragon and Phoenix Designs
26f876ba-5c09-47ac-b1fd-0f60eaa254ba,2016-00419,purses (ladies' accessories),Dompet with Beaded Butterfly and Flower Design Beaded purse with butterfly and flower design
ee6f5b93-b27e-4a77-97bc-644e6d1880df,2016-00420,purses (ladies' accessories),Dompet with Pomegranate and Mango Designs Beaded purse with pomegranate and mango designs
11cd2d05-70da-4be5-84cc-1d3400472307,2016-00431,installations (visual works),The End of History
e8b0c77c-4868-479b-8c1b-40bbdc4b5a4e,2016-00431-001,paintings (visual works),The End of History - The Girl with the Pearl Earring
3254920d-30f0-479c-ba8f-6f315dbe1afa,2016-00431-002,paintings (visual works),The End of History - Black Painting #1
a132387c-6bf8-470f-83c6-ad8f011614fe,2016-00431-003,paintings (visual works),The End of History - Black Painting #2
d1885b87-1249-417c-a461-7e59c8925b1e,2016-00431-004,paintings (visual works),The End of History - Black Painting #3
ae707f30-da67-4e39-a1f8-2c1e68e0fec1,2016-00431-005,paintings (visual works),The End of History - Black Painting #4
d0dad7ca-f970-44e8-87c5-c2e8ef443935,2016-00431-006,paintings (visual works),The End of History - Black Painting #5
22b00a5d-15fb-4c0a-b18e-4d943f7927dd,2016-00431-007,paintings (visual works),The End of History - Black Painting #6
c0f6c382-d449-4dfc-a51f-715b8a5b85e5,2016-00431-008,photographs,The End of History - Found photograph of Huang on far right and middle with handwriting at back The End of History -Young Huang Wei
cdde6c19-c74c-4072-a495-ebd70485e076,2016-00431-009,photographs love letters,The End of History - Found photograph with love letter on back likely taken by Huang The End of History - Portrait model with love letter
2d6388bf-fc6f-49ab-beaa-9c3732bba981,2016-00431-010,books,The End of History - Flemish Painting (Book #1)
a945500f-ed93-4e1f-ad72-c1188728b1f3,2016-00431-011,books,The End of History - Intonation and Lautgebung (Book #2)
6dff6bbd-bfe9-42aa-82c8-b6618f39840c,2016-00431-012,books,The End of History - Picasso (Book #3)
a318ad3d-8a88-4917-855a-ed449e4b5c47,2016-00431-013,books,The End of History - Amsterdamsche Impressionisten (Book #4)
49c52cf2-4a01-4979-ae3a-6a814e8ba6f4,2016-00431-014,books,The End of History - History and Criticism (Book #5)
b41f3ad0-abe8-4b21-bd76-8fc73a2ba371,2016-00431-015,postcards,The End of History - Postcard #1
9404fe71-6d3b-41e9-8c29-4d312ee5443f,2016-00431-016,postcards,The End of History - Postcard #2
c08bace6-3efc-4c59-b8f5-6eca94c2c155,2016-00431-017,postcards,The End of History - Postcard #3
d0836252-f724-4075-be6c-d9632f15a101,2016-00431-018,postcards,The End of History - Postcard #4
f256549b-0a7c-45c5-94ee-b7b3a6266e50,2016-00431-019,postcards,The End of History - Postcard #5
8266118e-19b0-44e2-9384-ca74cc8eaf9b,2016-00431-020,wrenches,The End of History - Adjustable spanner
720f2756-7593-49ee-8612-518f93f3d306,2016-00431-021,paintbrushes,The End of History - Painting brush #1
e1b26303-3f4b-4673-8dc5-477f0df5644f,2016-00431-022,paintbrushes,The End of History - Painting brush #2
554b8376-c2b2-419a-bf4a-81596b2bd355,2016-00431-023,paintbrushes,The End of History - Painting brush #3
85170091-613d-489d-a81c-60a9912de00f,2016-00431-024,paintbrushes,The End of History - Painting brush #4
4bff919d-aeda-487b-a3c8-ddd2cad99ae8,2016-00431-025,hammers (tools),The End of History - Mini hammer
1b4c8c20-ebd1-4380-84a8-2d2f5055295a,2016-00431-026,telescopes,The End of History - Mini binoculars
c412114f-7662-4769-b9d9-ea89832d2966,2016-00431-027,vessels (containers),The End of History - Mini cylinder
20fd2118-00a6-415d-88af-66725d448d2d,2016-00431-028,perfume bottles,The End of History - Cologne
4ff44385-dc07-4140-8363-b20021786576,2016-00431-029,cameras (photographic equipment),The End of History - Camera (Main Body)
716771b0-c6ae-496c-b63c-6bf15a9e5562,2016-00431-030,camera components,The End of History - Camera (Lens cap)
8268c3a0-66b9-4350-8871-15028f2e301b,2016-00431-031,telephones,The End of History - Telephone (main body)
70e36fb4-f455-43d6-adb5-6ad586110d82,2016-00431-032,telephones,The End of History - Telephone (fragment)
ef859fc4-9a6b-4186-8474-25855e5a9224,2016-00431-033,newspapers,The End of History - Newspaper
e984185c-06f5-431a-be3f-25a52146270d,2016-00431-034,paintings (visual works),The End of History - Rolled painting (with sky & trees)
08ab7ba2-2492-4321-bc22-eac356611d70,2016-00431-035,boards (flat objects) pages (components),The End of History - Painting wooden board
2c505a6b-b8a9-4ed2-88d8-23b6d52f8f57,2016-00431-036,paintings (visual works),The End of History - Rolled Painting (Boy)
f8781d0f-428e-404a-a00c-66e15fae6086,2016-00431-037,suitcases,The End of History - Archival Suitcase
d2ff6357-ad6b-437d-bea3-b987fa77da02,2016-00431-038,USB flash drives,The End of History - Thumbdrive
75a38a25-4b62-424f-a061-6b88c3a100c6,2016-00431-039,canvas (textile material),The End of History - Blank canvas
88f51ca3-8c5b-468b-880b-6ea5913672b8,2016-00440,table clocks documents (object genre) bags (generic containers) manuals (instructional manuals),Gold and enamel dome table clock in cloisonné enamel with its documents and packaging Gold and enamel dome table clock in cloisonné enamel by Patek Philippe
5885fffb-8b65-45c3-8fe8-34d8083a5b0f,2016-00464,paintings (visual works) portrait,Portrait of a Chinese merchant A Chinese Merchant
3b5ccde2-fe20-4b05-9b10-832277aefa28,2016-00465,inkwells,Butterfly-shaped inkwell
46c39f87-6981-4d01-9718-e90e73341d0d,2016-00466,figurines,A Pair of Filipino Mestizo Figures Filipino Mestizo Figures
df578232-58c0-41e4-b035-54019fba8912,2016-00467,altar tables,Set of altar tables Altar tables
926b13b4-abe8-4e15-993b-9c945163b2f0,2016-00468,screens (furniture),Lamp screen
0102fd6b-6880-4822-a254-c4bdfa16f7d3,2016-00469,oil lamps,Oil lamp
f6d475de-c576-42ec-97a1-aa00709e6805,2016-00470,photographs studio portraits,Pair of portraits (Peter Lim Ah Pin and Florence Yeo) Peter Lim Ah Pin and Florence Yeo
7ffbd323-544d-4212-939f-2f0e8c83150d,2016-00470-001,photographs studio portraits,Pair of portraits (Peter Lim Ah Pin and Florence Yeo) Peter Lim Ah Pin
65f0b8cf-5fa1-4279-ad0c-5e390cf2f39d,2016-00470-002,photographs studio portraits,Pair of portraits (Peter Lim Ah Pin and Florence Yeo) Florence Yeo
ca40dfb7-43c2-4ca9-aa7b-ae3f618771c2,"2016-00471
2016-00472",boxes (containers) sewing tools,Box of Gold Thread Boxes of Gold Thread
5ceaa8c3-f0c4-409b-873d-162732cbf931,2016-00478,typewriters,Olivetti Studio 46 typewriter with box cover Olivetti Studio 46 typewriter
459a554b-03c9-46b1-aa23-7d4158ac2e86,2016-00483,black-and-white photographs,Untitled (locomotive no. 24119)
cc7cc9a1-6bd9-404a-948f-bc393273bdb4,2016-00483 - 2016-00515,black-and-white photographs colour photographs,"\"Photographs from \"\"Tracking Memories\"\" by Mr. Kwek Leng Joo\""
3d6f51fe-e1be-4285-98a3-c096409ee5ee,2016-00484,black-and-white photographs,Untitled (Tanjong Pager/Keppel Station)
a3dfe3e4-b0ca-4912-a379-9cf3d37fcfd4,2016-00485,black-and-white photographs,Untitled (locomotive no. 26112)
38ade6e2-4344-4693-a9d9-8d71e8021ec1,2016-00486,black-and-white photographs,Untitled (locomotive no. 6423)
3d503877-fbd7-434d-89c9-bb602ee21413,2016-00487,black-and-white photographs,Untitled (locomotive no. 6423)
c8406e53-1b8a-4465-bf89-776e757e15fd,2016-00488,black-and-white photographs,Untitled (locomotive no. 6423)
a9830494-baea-479b-a92d-afb00a66cee7,2016-00489,black-and-white photographs,Untitled (locomotive no. 25107)
484dca77-e011-4f38-834d-102092220084,2016-00490,black-and-white photographs,Untitled (locomotive no. 25107 & 6675)
aa991596-af28-4114-91c0-cdcfd0d35da0,2016-00491,black-and-white photographs,Untitled (locomotive)
24e581b9-611f-4e5d-ae80-10378ab45b0d,2016-00492,black-and-white photographs,Untitled (locomotive)
f25a2ca1-05d9-467b-86f6-56c6f5c63610,2016-00493,black-and-white photographs,Untitled (Eastern & Oriental Express)
dfa4d8f6-5be0-498d-9e67-a1a0ab48dbbd,2016-00494,black-and-white photographs,Untitled (ceiling)
8f246c2b-5817-4e03-8dd7-90bfc61bb913,2016-00495,black-and-white photographs,Untitled (station interior)
a63c45a3-bb93-432f-869e-2b9396252f56,2016-00496,black-and-white photographs,Untitled (station clock)
a89c9f3a-badc-4157-accf-1d6085b33f3d,2016-00497,black-and-white photographs,Untitled (arch)
8d4a1621-c89f-4fa6-b69b-a739d1db2c4e,2016-00498,colour photographs,Untitled (locomotive)
9d6a96cf-9348-43e4-aa8d-35d074eb7f13,2016-00499,black-and-white photographs,Untitled (railway track)
e308adbc-4bc9-4546-a1fc-01ece1c8d7dc,2016-00500,black-and-white photographs,Untitled (railway station; locomotive 25107)
249e44a7-ac5b-43bc-883a-51b72c57a3fe,2016-00501,black-and-white photographs,Untitled (railway track)
71036bd9-a902-43af-8cce-fc65c04246bc,2016-00502,black-and-white photographs,Untitled (railway track)
231a4987-196f-4c96-b77c-9052f8730d87,2016-00503,black-and-white photographs,Untitled (port)
a80b4e76-460c-4863-b0c4-15fdbddbcabc,2016-00504,black-and-white photographs,Untitled (locomotive at Bukit Timah railway station)
2f2f0c13-3855-4a5a-90dd-6f4491e9b68a,2016-00505,black-and-white photographs,Untitled (station master at Bukit Timah railway station)
95c2e979-6b06-4287-9359-c27b1ee03dfc,2016-00506,black-and-white photographs,Untitled (train to Johor Bahru)
794b2e7f-ef88-4f35-b56c-bb93f1e1087e,2016-00513,black-and-white photographs,Untitled (M. Hassan Railway Food Station)
4261b14a-0d94-4611-802b-4a55cb451339,2016-00514,black-and-white photographs,Untitled (M. Hassan Railway Food Station)
8b76ec4c-2258-4acd-9f24-f7f6858eaea9,2016-00515,black-and-white photographs,Untitled (locomotive)
0b4f2a0e-b00a-4cb6-8b2c-2f1b35faf7d6,2016-00517,packaging  packaging,Packaging of Swimming Beaver Toy  Swimming Beaver Toy  Packaging of Swimming Beaver Toy  Swimming Beaver Toy
4b3abeed-ad5d-4d44-a9fb-e135aa2beaf3,2016-00518,miniatures (toys) miniatures (toys),8 Toy Cars [8 AFX Aurora Slot Cars] Box of 8 Toy Cars [8 AFX Aurora Slot Cars]  8 Toy Cars [8 AFX Aurora Slot Cars] Box of 8 Toy Cars [8 AFX Aurora Slot Cars]
e4aef1c9-6dc1-4034-90cf-ad5fc29871af,2016-00519,miniatures (toys) miniatures (toys),‘Lucozade' Delivery Van ‘Lucozade' Delivery Van
1545676c-b496-4812-b88d-39986f0ccd08,2016-00520,dailies (publications) dailies (publications),Malaya Nanban  Malaya Nanban
1f947a50-3cc9-4756-b9a3-fb0128440eb2,2016-00521,dailies (publications) dailies (publications),Malaya Nanban  Malaya Nanban
41086c73-72f9-439b-98a4-e9252e9be8c5,2016-00522,dailies (publications) dailies (publications),Malaya Nanban  Malaya Nanban
12f274cf-351c-4412-aac4-832c85c664b7,2016-00523,dailies (publications) dailies (publications),Malaya Nanban  Malaya Nanban
cef2f997-6c03-4c84-885f-bbad594b5ebc,2016-00524,magazines (periodicals) magazines (periodicals),Darul Islam Darul Islam
fc37a828-71a3-431b-8145-273b1d75bfc0,2016-00525,magazines (periodicals) magazines (periodicals),Darul Islam Darul Islam
c9eab4d6-2e1b-4fd3-a8ee-df112aad61b4,2016-00526,publications (documents) publications (documents),"Jinnah, The Great- World Muslims, Memorial No 1 Jinnah, The Great- World Muslims, Memorial No 1"
7c2da27b-b106-44b7-8644-7969bdff19ab,2016-00527,travel guidebooks travel guidebooks,‘Welcome to Singapore’ guide by Singapore Tourism  ‘Welcome to Singapore’ guide by Singapore Tourism
62e25ec6-5209-4f77-97ef-3f30f9dd1d26,2016-00528,magazines (periodicals) magazines (periodicals),The Singapore Changi Airport Magazine The Singapore Changi Airport Magazine
ac4d4370-38e0-4130-9604-c2cdbca1e6b9,2016-00529,newsletters newsletters,‘The Outlook’ newsletter for Singapore Airlines Group  ‘The Outlook’ newsletter for Singapore Airlines Group
644116e9-6ac4-401c-9842-b6fb01d0d5cb,2016-00530,magazines (periodicals) monthlies (publications) magazines (periodicals) monthlies (publications),‘Growing Up’ magazine ‘Growing Up’ magazine by Ministry of Education   ‘Growing Up’ magazine ‘Growing Up’ magazine by Ministry of Education
511b9a79-f8b0-47e1-86aa-38d385609384,2016-00531,application forms application forms,Singapore citizenship registration Application form for Singapore citizenship registration Singapore citizenship registration Application form for Singapore citizenship registration
4da61392-c645-4b6b-85f4-782379bacc4e,2016-00532,newspapers newspapers,Singapore: A Straits Times National Day Special Feature  Singapore: A Straits Times National Day Special Feature
6efa56fe-5467-41e7-b6b8-db82fca13417,2016-00533,magazines (periodicals) magazines (periodicals),National Day Exposition commemorative publication  National Day Exposition commemorative publication
846e4717-2282-4f4a-b000-b65a52d7c63b,2016-00534,newsletters newsletters,Set of Lidah Partai newsletters of Partai Rakyat (5 copies) Set of Lidah Partai newsletters of Partai Rakyat (5 copies)
7f8f2cb5-b7da-43f8-8bd6-e1997a815e44,2016-00535,serials (publications) magazines (periodicals) serials (publications) magazines (periodicals),Asia Magazine  Asia Magazine
c925bf7d-bbde-482b-9693-ed9a7197a081,2016-00536,picture books picture books,Singapore Youth Festival Art & Crafts Exhibition at National Museum Art Gallery  Singapore Youth Festival Art & Crafts Exhibition at National Museum Art Gallery
bf570442-10a6-4908-94a6-f707642c8b74,2016-00537,serials (publications) magazines (periodicals) serials (publications) magazines (periodicals),Open  Space' magazine 'Open  Space' magazine by Substation  Open  Space' magazine 'Open  Space' magazine by Substation
7f58cd2a-1885-49f3-9853-8739d348bf12,2016-00538,hardcover books hardcover books,"“Names of Items Commonly Found in Hawker Centres, Markets, Restaurants and Zhongyuan Jie Auctions” Publication “Names of Items Commonly Found in Hawker Centres, Markets, Restaurants and Zhongyuan Jie Auctions” “Names of Items Commonly Found in Hawker Centres, Markets, Restaurants and Zhongyuan Jie Auctions” Publication “Names of Items Commonly Found in Hawker Centres, Markets, Restaurants and Zhongyuan Jie Auctions”"
3ee9cf7f-1486-4f2d-b9ea-034583af2a29,2016-00539,pamphlets pamphlets,Anti-Spitting Pamphlet   Anti-Spitting Pamphlet
2eded079-7bdb-4f5d-8253-74319dd34335,2016-00540,pamphlets pamphlets,Anti-Littering / Cleaning-up Campaign Pamphlet Anti-Littering / Cleaning-up Campaign Pamphlet
33715f28-5edb-4178-abb8-f6ccac9fa3da,2016-00541,newsletters newsletters,Plebleian Newsletter in English (19 copies) Plebleian Newsletter in English (19 copies)
3123151e-0bac-4bec-8ea9-65a5a7b820b5,2016-00542,pamphlets pamphlets,Personal hygiene Pamphlet Personal hygiene Pamphlet
29e46ca4-1a93-4939-97b4-9beaee07e423,2016-00543,newspapers newspapers,University Tribune “Nantah Unruly Elements expelled and warned” Front Page  University Tribune “Nantah Unruly Elements expelled and warned” University Tribune “Nantah Unruly Elements expelled and warned” Front Page  University Tribune “Nantah Unruly Elements expelled and warned”
d44a750d-5638-4994-82b5-0bdcc3117ccb,2016-00543-001,newspapers newspapers,University Tribune “Nantah Unruly Elements expelled and warned” Front Page and Page 8 University Tribune “Nantah Unruly Elements expelled and warned” University Tribune “Nantah Unruly Elements expelled and warned” Front Page and Page 8 University Tribune “Nantah Unruly Elements expelled and warned”
022286f3-2296-46ff-b648-cec0f735dfe6,2016-00543-002,newspapers newspapers,University Tribune “Nantah Unruly Elements expelled and warned” Page 6 and Page 3 University Tribune “Nantah Unruly Elements expelled and warned” University Tribune “Nantah Unruly Elements expelled and warned” Page 6 and Page 3 University Tribune “Nantah Unruly Elements expelled and warned”
b903d9c2-e9f4-487f-9fad-12f5c5f36062,2016-00544,songbooks songbooks,"Assembly Songs Songbook, Young Singaporean Supplement Assembly Songs Songbook, Young Singaporean Supplement"
d8baa8d7-7ca1-4b6e-9750-847c6f4ab03a,2016-00545,songbooks songbooks,Assembly Songs for Secondary Schools Assembly Songs for Secondary Schools
a9927036-6b18-4432-8117-af3eea3b5ac8,2016-00546,reports reports,"Singapore Economic Situation Singapore Economic Situation, a report in Mandarin published by the team from the University of Singapore Student Union investigating employment and retrenchment of workers in Singapore Singapore Economic Situation Singapore Economic Situation, a report in Mandarin published by the team from the University of Singapore Student Union investigating employment and retrenchment of workers in Singapore"
6169d8c9-e87f-4881-8d11-a907aaa6f6eb,2016-00547,magazines (periodicals) magazines (periodicals),"Vision magazine, Vol. 3 Vision magazine, Vol. 3"
00c07f11-0342-443f-a868-7e0ce89d7b23,2016-00548,booklets booklets,"Singapore River Singapore River, programme booklet of a performance booklet by the Singapore Federation of Chinese Drama Association at the Victoria Theatre and Concert Hall (1990) Singapore River Singapore River, programme booklet of a performance booklet by the Singapore Federation of Chinese Drama Association at the Victoria Theatre and Concert Hall (1990)"
9a937504-21bd-4163-8b4e-93d1cf68fc17,2016-00549,buyers' guides buyers' guides,Christmas shopping guide Christmas shopping guide published by The Straits Times  Christmas shopping guide Christmas shopping guide published by The Straits Times
3eef0e55-8271-467f-aa24-27536a8cfcd7,2016-00550,booklets booklets,Performance by Hong Kong’s Tai Lung Fung theatre society at the National Theatre  Programme booklet for performance by Hong Kong’s Tai Lung Fung theatre society at the National Theatre  Performance by Hong Kong’s Tai Lung Fung theatre society at the National Theatre  Programme booklet for performance by Hong Kong’s Tai Lung Fung theatre society at the National Theatre
6a040744-1b06-40d1-9710-1fc5ff525832,2016-00551,booklets booklets,Pyongyang Cultural Mission at the National Theatre  Programme booklet for the Pyongyang Cultural Mission at the National Theatre  Pyongyang Cultural Mission at the National Theatre  Programme booklet for the Pyongyang Cultural Mission at the National Theatre
9d524512-ce05-4387-b0e2-280d2cfba24c,2016-00552,booklets booklets,Performance by the Experimental Theatre Group at the National Theatre Programme booklet for the performance by the Experimental Theatre Group at the National Theatre Performance by the Experimental Theatre Group at the National Theatre Programme booklet for the performance by the Experimental Theatre Group at the National Theatre
0cd7d618-189f-4a38-aacc-f832d4254f6c,2016-00553,magazines (periodicals) magazines (periodicals),"50 issues of Majallah Bahasa Kebangsaan 50 issues of Majallah Bahasa Kebangsaan, a magazine to promote the learning of the Malay language, published by the World Book Co. (M) Ltd.  50 issues of Majallah Bahasa Kebangsaan 50 issues of Majallah Bahasa Kebangsaan, a magazine to promote the learning of the Malay language, published by the World Book Co. (M) Ltd."
d5d81964-2779-422f-b4ea-c650a7c67ad0,2016-00554,manuals (instructional materials) manuals (instructional materials),Manual for the Rollei XF35 camera Manual for the Rollei XF35 camera
b3b9fa6b-308f-4b44-bad4-ff914b8f6263,2016-00555,newsletters newsletters,"Issues 2, 3 and 4 of Suara Satu Newsletter published by the Singapore Association of Trade Unions (SATU) Issues 2, 3 and 4 of Suara Satu Newsletter published by the Singapore Association of Trade Unions (SATU)"
8dce16c0-1b38-4809-b7bd-b57a5588c64a,2016-00556,weeklies (publications) newsletters weeklies (publications) newsletters,"Issues 1, 3 and 4 of the weekly published by the Barisan Rakyat (People’s Front)  Issues 1, 3 and 4 of the weekly published by the Barisan Rakyat (People’s Front)"
96cafada-b01a-4c17-977d-ef5c2bfcf917,2016-00557,instructional materials instructional materials,"Pelarajan Perbualan (Conversation Lessons: Malay-English) Malay instructional booklet titled Pelarajan Perbualan (Conversation Lessons: Malay-English), published by the Institute of National Language and Culture   Pelarajan Perbualan (Conversation Lessons: Malay-English) Malay instructional booklet titled Pelarajan Perbualan (Conversation Lessons: Malay-English), published by the Institute of National Language and Culture"
1d170515-0205-4e80-8bfa-96012e8555b9,2016-00558,report cards report cards,Report book PAP kindergarten (Toa Payoh branch) report book Report book PAP kindergarten (Toa Payoh branch) report book
a44e14ed-095f-4e85-aea5-b1631d06ffc2,2016-00559,manuals (instructional materials) manuals (instructional materials),Manual for operating a pager by Singapore Telecoms  Manual for operating a pager by Singapore Telecoms
0bbf9c9a-28ee-451e-a049-d01ba0326073,2016-00560,weeklies (publications) newsletters weeklies (publications) newsletters,Barisan Sosialis Chinese-language party newsletters (160 copies) Barisan Sosialis Chinese-language party newsletters (160 copies)
928cc435-77c5-4c30-b7eb-06966419056f,2016-00561,newsletters newsletters,Barisan Sosialis Chinese-language party newsletters  Barisan Sosialis Chinese-language party newsletters
3dfea594-2ac0-447a-bb2c-e11a52ca1095,2016-00562,tracts (literary works) tracts (literary works),Pair of Barisan Sosialis Chinese-language anti-war and anti-conscription tracts   Pair of Barisan Sosialis Chinese-language anti-war and anti-conscription tracts
da533427-680e-49dc-96af-5d1b823f16cb,2016-00563,pamphlets pamphlets,People’s Action Party 1984 General Election campaign pamphlet titled “Think! Together We Progress”   People’s Action Party 1984 General Election campaign pamphlet titled “Think! Together We Progress”
